qid	docid	in_dense	in_bm25	dense_rank	bm25_rank
Q-0003	CASE-501329	0	1	0	27
Q-0003	CASE-301990	0	1	0	28
Q-0003	CASE-301931	0	1	0	29
Q-0003	CASE-302102	0	1	0	30
Q-0003	CASE-700276	0	1	0	32
Q-0003	CASE-300112	0	1	0	33
Q-0003	CASE-001788	0	1	0	34
Q-0003	CASE-300208	0	1	0	35
Q-0003	CASE-700482	0	1	0	36
Q-0003	CASE-300930	0	1	0	38
Q-0003	CASE-500775	0	1	0	39
Q-0003	CASE-001711	0	1	0	40
Q-0003	CASE-700750	0	1	0	41
Q-0003	CASE-501207	0	1	0	42
Q-0003	CASE-301636	0	1	0	43
Q-0003	CASE-300738	0	1	0	44
Q-0003	CASE-000572	0	1	0	45
Q-0003	CASE-700773	0	1	0	47
Q-0003	CASE-700524	0	1	0	48
Q-0003	CASE-300623	0	1	0	49
Q-0003	CASE-700024	0	1	0	50
Q-0004	CASE-800740	1	0	11	0
Q-0004	CASE-800688	1	0	12	0
Q-0004	CASE-800726	1	0	13	0
Q-0004	CASE-800509	1	0	14	0
Q-0004	CASE-50005	1	0	15	0
Q-0004	CASE-000432	1	0	16	0
Q-0004	CASE-800460	1	0	17	0
Q-0004	CASE-800697	1	0	18	0
Q-0004	CASE-001199	1	0	19	0
Q-0004	CASE-800851	1	0	20	0
Q-0004	CASE-501297	1	0	21	0
Q-0004	CASE-800681	1	0	22	0
Q-0004	CASE-000112	1	1	23	49
Q-0004	CASE-800848	1	0	24	0
Q-0004	CASE-800631	1	0	25	0
Q-0004	CASE-800791	1	0	26	0
Q-0004	CASE-800503	1	0	27	0
Q-0004	CASE-800628	1	0	28	0
Q-0004	CASE-800680	1	0	29	0
Q-0004	CASE-000048	1	0	30	0
Q-0004	CASE-800626	1	0	31	0
Q-0004	CASE-000620	1	1	32	44
Q-0004	CASE-30104	1	0	34	0
Q-0004	CASE-800225	1	0	35	0
Q-0004	CASE-800085	1	0	36	0
Q-0004	CASE-001330	1	0	37	0
Q-0004	CASE-800498	1	0	38	0
Q-0004	CASE-800702	1	0	39	0
Q-0004	CASE-001146	1	0	40	0
Q-0004	CASE-800841	1	0	41	0
Q-0004	CASE-800625	1	0	42	0
Q-0004	CASE-800591	1	0	43	0
Q-0004	CASE-800577	1	0	44	0
Q-0004	CASE-800571	1	0	45	0
Q-0004	CASE-800476	1	0	46	0
Q-0004	CASE-30047	1	0	49	0
Q-0004	CASE-800809	1	0	50	0
Q-0004	CASE-001176	0	1	0	7
Q-0004	CASE-600295	0	1	0	8
Q-0004	CASE-800350	0	1	0	9
Q-0004	CASE-701070	0	1	0	10
Q-0004	CASE-701103	0	1	0	12
Q-0004	CASE-600258	0	1	0	15
Q-0004	CASE-700218	0	1	0	16
Q-0004	CASE-000491	0	1	0	17
Q-0004	CASE-800709	0	1	0	20
Q-0004	CASE-000046	0	1	0	21
Q-0004	CASE-100069	0	1	0	22
Q-0004	CASE-000730	0	1	0	23
Q-0004	CASE-000218	0	1	0	24
Q-0004	CASE-001718	0	1	0	25
Q-0004	CASE-501300	0	1	0	26
Q-0004	CASE-800797	0	1	0	27
Q-0004	CASE-600049	0	1	0	28
Q-0004	CASE-800012	0	1	0	29
Q-0004	CASE-800637	0	1	0	30
Q-0004	CASE-700496	0	1	0	31
Q-0004	CASE-500603	0	1	0	32
Q-0004	CASE-000346	0	1	0	33
Q-0004	CASE-800537	0	1	0	34
Q-0004	CASE-002174	0	1	0	35
Q-0004	CASE-701064	0	1	0	36
Q-0004	CASE-30098	0	1	0	37
Q-0004	CASE-000266	0	1	0	38
Q-0004	CASE-701077	0	1	0	39
Q-0004	CASE-000415	0	1	0	40
Q-0004	CASE-500616	0	1	0	41
Q-0004	CASE-000593	0	1	0	42
Q-0004	CASE-70045	0	1	0	43
Q-0004	CASE-000355	0	1	0	45
Q-0004	CASE-600335	0	1	0	46
Q-0004	CASE-001135	0	1	0	47
Q-0004	CASE-000830	0	1	0	48
Q-0004	CASE-501315	0	1	0	50
Q-0005	CASE-800335	1	0	11	0
Q-0005	CASE-000759	1	1	13	8
Q-0005	CASE-800530	1	0	14	0
Q-0005	CASE-001401	1	1	15	49
Q-0005	CASE-800425	1	0	16	0
Q-0005	CASE-800195	1	1	17	16
Q-0005	CASE-80238	1	0	19	0
Q-0005	CASE-80284	1	0	20	0
Q-0005	CASE-001777	1	1	21	11
Q-0005	CASE-001070	1	0	22	0
Q-0005	CASE-80047	1	0	24	0
Q-0005	CASE-20078	1	1	26	25
Q-0005	CASE-800589	1	0	27	0
Q-0005	CASE-800289	1	0	29	0
Q-0005	CASE-80276	1	0	30	0
Q-0005	CASE-000656	1	0	31	0
Q-0005	CASE-000902	1	0	32	0
Q-0005	CASE-10002	1	0	33	0
Q-0005	CASE-001018	1	0	34	0
Q-0005	CASE-600145	1	1	35	37
Q-0005	CASE-60009	1	0	36	0
Q-0005	CASE-800836	1	1	37	30
Q-0005	CASE-001171	1	0	38	0
Q-0005	CASE-80315	1	0	39	0
Q-0005	CASE-30046	1	0	40	0
Q-0005	CASE-80356	1	0	41	0
Q-0005	CASE-000536	1	0	42	0
Q-0005	CASE-80165	1	1	43	24
Q-0005	CASE-70074	1	0	44	0
Q-0005	CASE-30007	1	0	45	0
Q-0005	CASE-800396	1	0	46	0
Q-0005	CASE-80423	1	0	47	0
Q-0005	CASE-80326	1	1	48	33
Q-0005	CASE-800568	1	0	49	0
Q-0005	CASE-800380	1	0	50	0
Q-0005	CASE-800517	0	1	0	10
Q-0005	CASE-80054	0	1	0	14
Q-0005	CASE-800416	0	1	0	17
Q-0005	CASE-001004	0	1	0	19
Q-0005	CASE-000463	0	1	0	20
Q-0005	CASE-800204	0	1	0	21
Q-0005	CASE-80400	0	1	0	23
Q-0005	CASE-800384	0	1	0	26
Q-0005	CASE-80267	0	1	0	27
Q-0005	CASE-80181	0	1	0	28
Q-0005	CASE-800270	0	1	0	29
Q-0005	CASE-000551	0	1	0	31
Q-0005	CASE-70089	0	1	0	32
Q-0005	CASE-70102	0	1	0	34
Q-0005	CASE-70053	0	1	0	35
Q-0005	CASE-800532	0	1	0	38
Q-0005	CASE-80463	0	1	0	39
Q-0005	CASE-30009	0	1	0	41
Q-0005	CASE-70123	0	1	0	42
Q-0005	CASE-70031	0	1	0	43
Q-0005	CASE-800349	0	1	0	44
Q-0005	CASE-800362	0	1	0	45
Q-0005	CASE-30041	0	1	0	46
Q-0005	CASE-800429	0	1	0	47
Q-0005	CASE-20102	0	1	0	50
Q-0006	CASE-501041	1	1	13	40
Q-0006	CASE-501341	1	0	15	0
Q-0006	CASE-501161	1	1	16	32
Q-0006	CASE-501328	1	1	17	12
Q-0006	CASE-500490	1	1	20	10
Q-0006	CASE-501152	1	0	21	0
Q-0006	CASE-700079	1	0	23	0
Q-0006	CASE-501109	1	0	25	0
Q-0006	CASE-500358	1	1	27	33
Q-0006	CASE-500521	1	1	28	25
Q-0006	CASE-700857	1	0	29	0
Q-0006	CASE-500699	1	0	30	0
Q-0006	CASE-501075	1	0	31	0
Q-0006	CASE-501264	1	0	32	0
Q-0006	CASE-501160	1	0	33	0
Q-0006	CASE-700076	1	0	34	0
Q-0006	CASE-501265	1	0	35	0
Q-0006	CASE-501285	1	1	36	21
Q-0006	CASE-700074	1	0	37	0
Q-0006	CASE-701066	1	0	38	0
Q-0006	CASE-500834	1	0	39	0
Q-0006	CASE-501218	1	1	40	15
Q-0006	CASE-500899	1	1	41	45
Q-0006	CASE-500975	1	1	42	42
Q-0006	CASE-701036	1	0	43	0
Q-0006	CASE-501163	1	0	44	0
Q-0006	CASE-501142	1	0	45	0
Q-0006	CASE-700293	1	0	46	0
Q-0006	CASE-501004	1	1	47	27
Q-0006	CASE-701018	1	0	48	0
Q-0006	CASE-500836	1	0	49	0
Q-0006	CASE-500176	1	1	50	17
Q-0006	CASE-500112	0	1	0	13
Q-0006	CASE-501386	0	1	0	14
Q-0006	CASE-501147	0	1	0	16
Q-0006	CASE-500322	0	1	0	18
Q-0006	CASE-500561	0	1	0	19
Q-0006	CASE-501250	0	1	0	20
Q-0006	CASE-500995	0	1	0	22
Q-0006	CASE-500262	0	1	0	23
Q-0006	CASE-500192	0	1	0	24
Q-0006	CASE-500557	0	1	0	26
Q-0006	CASE-500457	0	1	0	28
Q-0006	CASE-501198	0	1	0	29
Q-0006	CASE-501469	0	1	0	31
Q-0006	CASE-500827	0	1	0	34
Q-0006	CASE-500947	0	1	0	35
Q-0006	CASE-501081	0	1	0	36
Q-0006	CASE-500641	0	1	0	37
Q-0006	CASE-501428	0	1	0	38
Q-0006	CASE-500703	0	1	0	39
Q-0006	CASE-501353	0	1	0	41
Q-0006	CASE-501021	0	1	0	43
Q-0006	CASE-501300	0	1	0	44
Q-0006	CASE-500822	0	1	0	46
Q-0006	CASE-501069	0	1	0	47
Q-0006	CASE-501148	0	1	0	48
Q-0006	CASE-500254	0	1	0	49
Q-0006	CASE-501144	0	1	0	50
Q-0007	CASE-700844	1	1	11	20
Q-0007	CASE-700527	1	1	14	35
Q-0007	CASE-700391	1	0	15	0
Q-0007	CASE-700994	1	0	16	0
Q-0007	CASE-701080	1	0	17	0
Q-0007	CASE-700473	1	1	18	29
Q-0007	CASE-701220	1	1	19	36
Q-0007	CASE-700394	1	0	20	0
Q-0007	CASE-700802	1	0	21	0
Q-0007	CASE-700824	1	0	23	0
Q-0007	CASE-700468	1	1	24	26
Q-0007	CASE-700799	1	0	26	0
Q-0007	CASE-701254	1	0	27	0
Q-0007	CASE-700756	1	0	28	0
Q-0007	CASE-701213	1	1	29	19
Q-0007	CASE-700588	1	1	31	38
Q-0007	CASE-700652	1	0	32	0
Q-0007	CASE-700465	1	0	33	0
Q-0007	CASE-701107	1	0	34	0
Q-0007	CASE-700513	1	0	35	0
Q-0007	CASE-700650	1	0	36	0
Q-0007	CASE-700641	1	0	37	0
Q-0007	CASE-700949	1	1	38	49
Q-0007	CASE-700053	1	0	39	0
Q-0007	CASE-700864	1	1	40	22
Q-0007	CASE-700400	1	0	41	0
Q-0007	CASE-701041	1	1	42	24
Q-0007	CASE-701094	1	0	43	0
Q-0007	CASE-701102	1	0	44	0
Q-0007	CASE-700907	1	1	45	27
Q-0007	CASE-701097	1	0	46	0
Q-0007	CASE-701110	1	0	47	0
Q-0007	CASE-701229	1	0	48	0
Q-0007	CASE-701137	1	0	49	0
Q-0007	CASE-701197	1	0	50	0
Q-0007	CASE-701255	0	1	0	8
Q-0007	CASE-700834	0	1	0	12
Q-0007	CASE-700439	0	1	0	13
Q-0007	CASE-700441	0	1	0	15
Q-0007	CASE-700531	0	1	0	16
Q-0007	CASE-700871	0	1	0	17
Q-0007	CASE-701325	0	1	0	18
Q-0007	CASE-700497	0	1	0	21
Q-0007	CASE-700977	0	1	0	23
Q-0007	CASE-701083	0	1	0	30
Q-0007	CASE-701264	0	1	0	31
Q-0007	CASE-701289	0	1	0	32
Q-0007	CASE-700480	0	1	0	33
Q-0007	CASE-700459	0	1	0	34
Q-0007	CASE-700474	0	1	0	37
Q-0007	CASE-500501	0	1	0	39
Q-0007	CASE-701320	0	1	0	41
Q-0007	CASE-500079	0	1	0	42
Q-0007	CASE-700722	0	1	0	43
Q-0007	CASE-700811	0	1	0	44
Q-0007	CASE-700905	0	1	0	45
Q-0007	CASE-701234	0	1	0	46
Q-0007	CASE-700793	0	1	0	47
Q-0007	CASE-700559	0	1	0	48
Q-0007	CASE-701224	0	1	0	50
Q-0008	CASE-002093	1	1	13	10
Q-0008	CASE-002333	1	0	14	0
Q-0008	CASE-001678	1	1	15	15
Q-0008	CASE-002179	1	1	18	18
Q-0008	CASE-002078	1	0	19	0
Q-0008	CASE-002435	1	1	20	26
Q-0008	CASE-002459	1	0	23	0
Q-0008	CASE-001937	1	0	24	0
Q-0008	CASE-001549	1	0	25	0
Q-0008	CASE-002178	1	1	26	28
Q-0008	CASE-002457	1	0	27	0
Q-0008	CASE-002356	1	1	28	44
Q-0008	CASE-002117	1	1	29	27
Q-0008	CASE-002495	1	0	30	0
Q-0008	CASE-002071	1	0	31	0
Q-0008	CASE-001951	1	1	32	25
Q-0008	CASE-002275	1	1	33	20
Q-0008	CASE-001821	1	0	34	0
Q-0008	CASE-001621	1	1	35	30
Q-0008	CASE-001918	1	0	36	0
Q-0008	CASE-001689	1	1	37	23
Q-0008	CASE-001844	1	0	39	0
Q-0008	CASE-002315	1	0	40	0
Q-0008	CASE-001748	1	1	41	35
Q-0008	CASE-001699	1	0	43	0
Q-0008	CASE-002298	1	1	44	31
Q-0008	CASE-001966	1	1	45	43
Q-0008	CASE-002342	1	0	46	0
Q-0008	CASE-001556	1	0	47	0
Q-0008	CASE-002477	1	0	48	0
Q-0008	CASE-001515	1	1	49	12
Q-0008	CASE-002192	1	1	50	22
Q-0008	CASE-002453	0	1	0	14
Q-0008	CASE-001769	0	1	0	29
Q-0008	CASE-001905	0	1	0	32
Q-0008	CASE-001742	0	1	0	33
Q-0008	CASE-001943	0	1	0	34
Q-0008	CASE-002256	0	1	0	37
Q-0008	CASE-002514	0	1	0	38
Q-0008	CASE-001794	0	1	0	40
Q-0008	CASE-002294	0	1	0	41
Q-0008	CASE-002174	0	1	0	42
Q-0008	CASE-001698	0	1	0	45
Q-0008	CASE-001485	0	1	0	46
Q-0008	CASE-001589	0	1	0	47
Q-0008	CASE-001901	0	1	0	48
Q-0008	CASE-002380	0	1	0	49
Q-0008	CASE-001855	0	1	0	50
Q-0009	CASE-301897	1	0	11	0
Q-0009	CASE-301294	1	0	12	0
Q-0009	CASE-300024	1	0	13	0
Q-0009	CASE-300370	1	1	14	29
Q-0009	CASE-300463	1	0	15	0
Q-0009	CASE-300444	1	0	16	0
Q-0009	CASE-301423	1	0	17	0
Q-0009	CASE-301538	1	0	18	0
Q-0009	CASE-300494	1	1	19	37
Q-0009	CASE-300855	1	0	21	0
Q-0009	CASE-300595	1	0	22	0
Q-0009	CASE-302015	1	1	23	35
Q-0009	CASE-300672	1	0	24	0
Q-0009	CASE-300993	1	0	25	0
Q-0009	CASE-301531	1	0	26	0
Q-0009	CASE-301796	1	1	27	38
Q-0009	CASE-301521	1	1	29	36
Q-0009	CASE-300305	1	0	30	0
Q-0009	CASE-301677	1	0	31	0
Q-0009	CASE-300955	1	0	32	0
Q-0009	CASE-300947	1	0	34	0
Q-0009	CASE-301568	1	0	35	0
Q-0009	CASE-700124	1	1	36	47
Q-0009	CASE-301166	1	0	37	0
Q-0009	CASE-301077	1	0	38	0
Q-0009	CASE-301834	1	0	40	0
Q-0009	CASE-300430	1	0	41	0
Q-0009	CASE-301900	1	0	42	0
Q-0009	CASE-300710	1	0	43	0
Q-0009	CASE-301738	1	1	44	11
Q-0009	CASE-300203	1	0	45	0
Q-0009	CASE-300391	1	0	46	0
Q-0009	CASE-300533	1	0	47	0
Q-0009	CASE-300945	1	0	48	0
Q-0009	CASE-300908	1	0	49	0
Q-0009	CASE-301322	1	0	50	0
Q-0009	CASE-300387	0	1	0	10
Q-0009	CASE-300665	0	1	0	12
Q-0009	CASE-300513	0	1	0	13
Q-0009	CASE-000769	0	1	0	15
Q-0009	CASE-300495	0	1	0	16
Q-0009	CASE-301933	0	1	0	17
Q-0009	CASE-700001	0	1	0	18
Q-0009	CASE-301174	0	1	0	19
Q-0009	CASE-301838	0	1	0	20
Q-0009	CASE-700334	0	1	0	21
Q-0009	CASE-700009	0	1	0	22
Q-0009	CASE-700114	0	1	0	24
Q-0009	CASE-301446	0	1	0	25
Q-0009	CASE-300969	0	1	0	26
Q-0009	CASE-700331	0	1	0	27
Q-0009	CASE-701021	0	1	0	28
Q-0009	CASE-700011	0	1	0	31
Q-0009	CASE-300326	0	1	0	32
Q-0009	CASE-600276	0	1	0	33
Q-0009	CASE-000913	0	1	0	34
Q-0009	CASE-300755	0	1	0	39
Q-0009	CASE-301025	0	1	0	40
Q-0009	CASE-800569	0	1	0	41
Q-0009	CASE-700002	0	1	0	42
Q-0009	CASE-700129	0	1	0	43
Q-0009	CASE-000965	0	1	0	44
Q-0009	CASE-700223	0	1	0	45
Q-0009	CASE-300683	0	1	0	46
Q-0009	CASE-700585	0	1	0	48
Q-0009	CASE-000754	0	1	0	49
Q-0009	CASE-301601	0	1	0	50
Q-0010	CASE-800530	1	0	11	0
Q-0010	CASE-800375	1	1	12	9
Q-0010	CASE-800335	1	1	14	14
Q-0010	CASE-80245	1	1	15	11
Q-0010	CASE-800322	1	0	17	0
Q-0010	CASE-600145	1	0	19	0
Q-0010	CASE-001443	1	1	20	31
Q-0010	CASE-000759	1	0	21	0
Q-0010	CASE-800086	1	0	23	0
Q-0010	CASE-30109	1	1	24	16
Q-0010	CASE-80315	1	0	25	0
Q-0010	CASE-80238	1	0	26	0
Q-0010	CASE-001070	1	0	27	0
Q-0010	CASE-800536	1	0	28	0
Q-0010	CASE-800568	1	0	29	0
Q-0010	CASE-000902	1	0	30	0
Q-0010	CASE-80436	1	1	31	25
Q-0010	CASE-80284	1	0	32	0
Q-0010	CASE-80047	1	0	33	0
Q-0010	CASE-80405	1	1	34	23
Q-0010	CASE-800692	1	0	35	0
Q-0010	CASE-000080	1	0	36	0
Q-0010	CASE-800561	1	0	37	0
Q-0010	CASE-800380	1	0	38	0
Q-0010	CASE-800201	1	0	39	0
Q-0010	CASE-80400	1	0	40	0
Q-0010	CASE-001453	1	0	41	0
Q-0010	CASE-800609	1	0	42	0
Q-0010	CASE-001777	1	0	43	0
Q-0010	CASE-800354	1	1	44	39
Q-0010	CASE-80326	1	1	45	10
Q-0010	CASE-800556	1	1	46	26
Q-0010	CASE-000245	1	0	47	0
Q-0010	CASE-80084	1	0	48	0
Q-0010	CASE-800589	1	0	50	0
Q-0010	CASE-30035	0	1	0	15
Q-0010	CASE-800817	0	1	0	17
Q-0010	CASE-001018	0	1	0	18
Q-0010	CASE-600393	0	1	0	19
Q-0010	CASE-20104	0	1	0	20
Q-0010	CASE-80348	0	1	0	21
Q-0010	CASE-800798	0	1	0	22
Q-0010	CASE-100085	0	1	0	24
Q-0010	CASE-600229	0	1	0	27
Q-0010	CASE-800228	0	1	0	28
Q-0010	CASE-001288	0	1	0	29
Q-0010	CASE-800429	0	1	0	30
Q-0010	CASE-800517	0	1	0	32
Q-0010	CASE-80340	0	1	0	33
Q-0010	CASE-800445	0	1	0	34
Q-0010	CASE-80336	0	1	0	35
Q-0010	CASE-800190	0	1	0	36
Q-0010	CASE-70129	0	1	0	37
Q-0010	CASE-001004	0	1	0	38
Q-0010	CASE-800434	0	1	0	40
Q-0010	CASE-80379	0	1	0	41
Q-0010	CASE-000707	0	1	0	42
Q-0010	CASE-800414	0	1	0	43
Q-0010	CASE-30062	0	1	0	45
Q-0010	CASE-80093	0	1	0	46
Q-0010	CASE-001282	0	1	0	48
Q-0010	CASE-80126	0	1	0	49
Q-0010	CASE-70076	0	1	0	50
Q-0011	CASE-10002	1	1	11	45
Q-0011	CASE-80189	1	1	12	13
Q-0011	CASE-30072	1	0	14	0
Q-0011	CASE-001070	1	1	17	19
Q-0011	CASE-000451	1	0	18	0
Q-0011	CASE-000765	1	0	19	0
Q-0011	CASE-800335	1	1	20	15
Q-0011	CASE-800530	1	0	21	0
Q-0011	CASE-000277	1	0	25	0
Q-0011	CASE-800425	1	0	26	0
Q-0011	CASE-30009	1	1	27	28
Q-0011	CASE-80326	1	0	28	0
Q-0011	CASE-80339	1	0	29	0
Q-0011	CASE-80245	1	0	30	0
Q-0011	CASE-80166	1	0	31	0
Q-0011	CASE-800354	1	0	32	0
Q-0011	CASE-800289	1	1	33	16
Q-0011	CASE-60009	1	0	34	0
Q-0011	CASE-800589	1	1	35	23
Q-0011	CASE-80464	1	0	36	0
Q-0011	CASE-800836	1	0	37	0
Q-0011	CASE-000902	1	0	38	0
Q-0011	CASE-000413	1	0	39	0
Q-0011	CASE-000335	1	0	40	0
Q-0011	CASE-80295	1	0	41	0
Q-0011	CASE-30043	1	0	42	0
Q-0011	CASE-001401	1	0	43	0
Q-0011	CASE-800191	1	0	44	0
Q-0011	CASE-001026	1	0	45	0
Q-0011	CASE-800389	1	0	46	0
Q-0011	CASE-600159	1	0	47	0
Q-0011	CASE-000979	1	0	48	0
Q-0011	CASE-80177	1	0	49	0
Q-0011	CASE-000823	1	0	50	0
Q-0011	CASE-20078	0	1	0	10
Q-0011	CASE-800568	0	1	0	12
Q-0011	CASE-300522	0	1	0	18
Q-0011	CASE-001460	0	1	0	20
Q-0011	CASE-000355	0	1	0	21
Q-0011	CASE-700448	0	1	0	22
Q-0011	CASE-000798	0	1	0	24
Q-0011	CASE-700343	0	1	0	25
Q-0011	CASE-800312	0	1	0	26
Q-0011	CASE-000808	0	1	0	27
Q-0011	CASE-20049	0	1	0	29
Q-0011	CASE-000247	0	1	0	30
Q-0011	CASE-600152	0	1	0	31
Q-0011	CASE-501314	0	1	0	32
Q-0011	CASE-000267	0	1	0	33
Q-0011	CASE-000063	0	1	0	34
Q-0011	CASE-001448	0	1	0	35
Q-0011	CASE-800577	0	1	0	36
Q-0011	CASE-30108	0	1	0	37
Q-0011	CASE-70127	0	1	0	38
Q-0011	CASE-80434	0	1	0	39
Q-0011	CASE-000661	0	1	0	40
Q-0011	CASE-800780	0	1	0	41
Q-0011	CASE-000577	0	1	0	42
Q-0011	CASE-600320	0	1	0	43
Q-0011	CASE-100041	0	1	0	44
Q-0011	CASE-30062	0	1	0	46
Q-0011	CASE-800347	0	1	0	47
Q-0011	CASE-70060	0	1	0	48
Q-0011	CASE-000727	0	1	0	49
Q-0011	CASE-80366	0	1	0	50
Q-0012	CASE-501475	1	1	11	8
Q-0012	CASE-500890	1	0	12	0
Q-0012	CASE-501478	1	1	13	46
Q-0012	CASE-500816	1	0	14	0
Q-0012	CASE-500335	1	1	15	31
Q-0012	CASE-500597	1	0	16	0
Q-0012	CASE-501162	1	1	17	45
Q-0012	CASE-500424	1	0	18	0
Q-0012	CASE-500703	1	0	19	0
Q-0012	CASE-501334	1	0	20	0
Q-0012	CASE-500102	1	0	21	0
Q-0012	CASE-501152	1	0	22	0
